STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
3819.0,"SORU SOLA BEEL, PALTAN  BAZAR, GUWAHATI",LAKE,ASSAM,20,35,0.3,2.7,6.9,7.8,430,602,20.8,29.6,2.80,5.70,2800,3900,4400,5300
2225.0,"BASKANDI POND INSIDE  THE BASKANDI  MADRASA, BASKANDI,  ASSAM",POND,ASSAM,19,25,4.0,4.6,7.0,7.3,101,108,2.3,2.9,0.70,1.10,360,730,1100,1500
2214.0,"BATODRAWA SATRA  POND, NAGAON, ASSAM",POND,ASSAM,21,34,4.0,10.5,6.6,7.5,67,128,2.1,2.6,0.90,2.00,300,730,910,1500
2219.0,"BISHNU PUSKAR  PUKHURI OF HAYAGRIB  MADHAB TEMPLE, HAJO,  ASSAM",POND,ASSAM,20,27,6.5,10.2,7.1,8.1,218,309,2.2,2.6,0.80,2.00,300,1100,910,2000
3772.0,BORPUKHURI AT SONARI,POND,ASSAM,18,33,5.6,7.1,6.8,7.5,81,118,2.1,2.6,0.80,1.30,300,910,360,1500
2208.0,"BORPUKHURI, NAZIRA,  ASSAM",POND,ASSAM,20,34,4.7,7.8,6.8,7.4,52,96,2.1,2.8,0.80,1.20,300,720,720,1400
2216.0,"DIGHALI PUKHURI,  GUWAHATI, ASSAM",POND,ASSAM,19,32,5.7,10.2,7.0,8.1,156,250,2.3,2.8,0.90,4.00,610,940,1100,1900
2221.0,"GANGA PUKHURI,  NALBARI (GORDON  SCHOOL), ASSAM",POND,ASSAM,20,27,5.5,10.0,7.1,7.8,84,134,2.2,2.7,0.90,2.00,300,730,910,1400
2209.0,"GAURISAGAR TANK,  GAURISAGAR, ASSAM",POND,ASSAM,17,33,4.2,7.2,6.7,7.5,59,114,2.0,2.6,0.80,1.20,300,910,720,1500
2212.0,"GOPHUR TANK, GOPHUR,  ASSAM",POND,ASSAM,22,30,7.0,7.3,7.0,7.9,87,198,2.3,2.8,0.70,1.30,300,910,730,1500
2227.0,"HARDOI PUKHURI,  CHARAIDEW, ASSAM",POND,ASSAM,17,33,5.4,7.2,6.6,7.7,48,86,2.1,2.5,0.80,1.30,360,720,360,910
2213.0,"JAIPAL PUKHURI,  SIPAJHAR, ASSAM",POND,ASSAM,22,32,6.8,7.3,6.8,8.2,105,355,2.3,2.7,0.80,1.10,300,940,910,1500
1532.0,"JAYSAGAR TANK,  SIVASAGAR, ASSAM",POND,ASSAM,17,32,4.8,8.2,6.8,7.9,58,104,1.9,2.6,0.60,1.30,300,730,360,1100
3809.0,JORPUKHURI AT  UZANBAZAR (UGRATALA  TEMPLE),POND,ASSAM,18,34,4.2,9.3,7.2,7.7,348,428,2.4,2.8,0.80,1.60,360,940,1400,1600
2223.0,"MAHAMAYA MANDIR  PUKHURI, ASSAM",POND,ASSAM,22,38,4.5,5.2,6.9,7.6,80,104,2.2,2.7,0.70,2.30,300,730,910,1500
4006.0,NETAI PUKHURI AT NETAI  PUKHURI,POND,ASSAM,19,34,4.7,7.4,6.8,7.3,59,96,2.1,6.8,0.70,1.10,300,600,360,910
2211.0,"PADUMPUKHURI,  TEZPUR, ASSAM",POND,ASSAM,22,30,6.8,7.4,6.8,8.0,230,353,2.3,2.8,0.80,1.30,300,620,720,1400
3806.0,POND WATER FROM  RAMKRISHNA MISSION  AT HAILAKANDI,POND,ASSAM,22,25,4.0,5.2,6.9,7.4,130,162,2.3,2.9,0.80,1.30,300,730,610,1600
2222.0,"RAJADINIA PUKHURI AT  ABHAYAPURI, ASSAM",POND,ASSAM,24,37,4.5,5.4,6.9,7.8,84,136,2.5,2.7,0.80,1.70,300,730,1100,2000
2224.0,"RAJAPUKHURI AT  GAURIPUR, ASSAM",POND,ASSAM,22,39,4.6,4.9,6.9,7.7,94,133,2.1,2.6,0.70,2.20,300,720,730,1400
2210.0,"RAJMAW PUKHURI,  JORHAT, ASSAM",POND,ASSAM,20,34,4.9,6.7,7.0,8.0,90,116,2.1,2.5,0.80,1.40,300,910,620,2000
2226.0,"SIVASAGAR TANK  (BORPUKHURI) NEAR  SIVADOL, ASSAM",POND,ASSAM,18,34,4.9,7.2,6.7,7.7,50,92,1.0,2.5,0.80,8.00,300,910,620,1500
2217.0,"SUBHAGYA KUNDA POND  KAMAKHYA TEMPLE,  GUWAHATI, ASSAM",POND,ASSAM,17,30,4.3,9.3,6.8,7.8,230,571,2.4,2.8,1.00,1.50,300,730,1100,1500
3775.0,TENGA PUKHURI AT  TENGAPUKHURI,POND,ASSAM,17,33,5.4,6.9,6.5,7.7,66,110,2.3,2.8,0.70,1.40,300,910,730,1500
4334.0,"THOWRADOLE PUKHURI,  THOWRADOLE G.P.  DEMOW BLOCK",POND,ASSAM,19,35,4.3,7.9,6.8,7.7,50,112,2.3,2.6,0.90,1.20,360,720,360,2000
5137.0,"HASILA BEEL, GOALPARA  (HASILA BEEL), DIST.  GOPALPARA, ASSAM",WETLAND,ASSAM,21,38,4.7,5.1,7.0,7.6,158,195,2.1,2.6,0.80,2.00,300,720,610,1200
5136.0,"TAMRANGA BEEL,  GHILAGURI NEAR  IKRABARI, DIST.  BONGAIGAON",WETLAND,ASSAM,22,38,4.9,5.3,7.0,7.8,156,202,2.0,2.6,1.00,1.60,300,730,730,1500
2557.0,KAWAR LAKE NEAR  JAYMANGLA GARH  TEMPLE AT BEGUSARAI,LAKE,BIHAR,15,28,2.8,8.9,7.1,8.1,221,392,1.6,6.0,0.30,0.43,1400,130000,2600,350000
2571.0,"MOTI JHEEL AT  MOTIHARII NEAR  GAYATRI MANDIR,  MOTIHARI, EAST  CHAMPARAN",LAKE,BIHAR,15,30,3.6,20.0,7.2,8.5,472,1100,1.5,30.0,0.30,0.44,270,170000,1100,350000
4296.0,"SIKANDRAPUR LAKE AT  SIKANDARPUR,  MUZAFFARPUR",LAKE,BIHAR,17,31,3.4,14.1,7.3,8.5,364,962,1.8,12.0,0.30,0.68,230,160000,330,160000
2573.0,"DIGHI TALAB NEAR  KACHHARI ROAD, GAYA",POND,BIHAR,19,32,5.2,15.2,7.1,8.7,699,995,2.0,14.0,0.30,0.43,2300,92000,3300,160000
2574.0,"SURAJ KUND NEAR  VISHNUPAD MANDIR  ,GAYA",POND,BIHAR,15,32,6.3,17.5,7.3,8.4,400,831,2.6,11.0,0.30,0.35,1300,240000,3500,540000
2046.0,"SUKHNA LAKE,  CHANDIGARH",LAKE,CHANDIGAR H,16,34,7.8,10.9,7.0,8.8,202,283,1.8,3.8,0.40,2.40,27,9200,170,16000
3164.0,"NEHRU NAGAR TALAB,  BHILAI, CHHATISGARH.",POND,CHHATTISGA RH,26,29,6.2,7.7,7.2,8.8,2432,2432,1.8,47.0,0.36,1.00,20,170,140,140
3031.0,"BHALSWA LAKE, DELHI",LAKE,DELHI,,,0.3,3.5,7.8,8.9,,,10.0,93.4,0.30,0.91,21000,940000,-,-
3476.0,"LAKE NEAR IIT FLYOVER,  DELHI",LAKE,DELHI,,,0.3,10.0,8.1,9.3,,,3.3,113.3,0.30,0.70,4300,840000,-,-
3030.0,"SANJAY LAKE, DELHI",LAKE,DELHI,,,0.3,4.2,7.6,9.5,,,26.0,90.0,0.41,0.58,32000,700000,-,-
5280.0,"AMBULOR LAKE, VERNA,  SALCETE - GOA",LAKE,GOA,27,32,3.0,7.9,5.5,6.9,42,166,1.0,2.5,0.32,0.32,240,2200,350,3500
3175.0,ANJUNEM LAKE,LAKE,GOA,25,31,4.2,8.0,6.1,7.5,28,59,1.0,1.7,0.32,0.62,8,350,17,540
5103.0,"BATIM LAKE, GOA VELHA,  TISWADI - GOA",LAKE,GOA,28,31,4.0,7.2,5.8,7.8,72,226,1.0,5.0,0.32,0.34,490,2400,790,3500
3177.0,CARAMBOLIM LAKE,LAKE,GOA,27,30,5.1,10.0,6.1,8.9,16,1981,1.0,2.1,0.32,2.22,1300,2700,1700,3400
3180.0,CURTORIM LAKE,LAKE,GOA,28,31,1.0,7.3,5.9,7.3,43,49,1.1,28.0,0.32,0.35,490,3400,940,4700
4408.0,HARWALE WATER FALL,LAKE,GOA,26,31,6.8,8.7,6.1,7.7,44,164,1.0,2.0,0.32,0.32,490,2400,700,4900
2269.0,"MAYEM LAKE, BICHOLIM",LAKE,GOA,27,30,6.0,8.6,5.3,7.3,29,67,1.0,1.9,0.32,0.32,1300,2300,1700,3300
3178.0,RAITOLLEM LAKE,LAKE,GOA,28,31,3.4,7.5,5.9,7.7,82,271,1.2,16.0,0.32,0.32,230,2400,330,5400
3179.0,SAIPEM LAKE,LAKE,GOA,27,28,1.2,5.1,6.3,7.4,166,477,1.7,6.7,0.32,2.96,2300,4900,3300,7000
5104.0,"SARZORA LAKE,  CHINCHINM, SALCETE -  GOA",LAKE,GOA,27,30,6.4,8.4,6.0,7.7,40,99,1.0,1.5,0.32,0.32,330,940,490,1500
1345.0,"AJWAH LAKE AT SRI  SAYAJI SABVAR, BARODA,",LAKE,GUJARAT,25,31,6.1,7.6,7.8,8.5,320,576,1.0,1.0,0.32,3.27,2,4,11,21
1973.0,"BINDUSAROVAR,  SIDDHPUR  (DIST.PATAN)BINDU  SAROVAR, AHMEDABAD-  PALANUR HIGHWAY,  SIDDHPUR, DIST-PATAN",LAKE,GUJARAT,24,29,3.2,6.7,7.4,8.0,2140,2680,1.0,13.0,0.30,0.81,14,350,94,540
1344.0,"CHANDOLA LAKE AT  AHMEDABAD,",LAKE,GUJARAT,26,31,4.1,5.7,7.5,8.3,467,713,1.2,12.0,0.39,0.77,170,920,540,1600
1977.0,"CITY LAKE OF  NADIADKHETA TALAV  (CITY LAKE) ,NADIAD,  DIST:KHEDA",LAKE,GUJARAT,25,35,4.5,6.3,8.4,8.8,1108,2862,1.6,3.5,0.42,1.69,18,920,110,1600
