PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster_GMM,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob,Cluster_3_Prob,Cluster_4_Prob,Cluster_5_Prob,Cluster_6_Prob,Cluster_7_Prob,Cluster_8_Prob,Cluster_9_Prob,Cluster_10_Prob,Cluster_11_Prob,Cluster_12_Prob,Cluster_13_Prob
-1.7720946634512589,0.2906829809499351,-1.002535597766265,0.0924618851936312,-0.2104698193138079,-0.2014818464457692,243.0,21.0,2.2,27.0,603.0,6.0,102.0,816.0,1.0,5.4,0.32,7.0,1.12,4919.0,WETLAND,3,1.673364218320629e-13,0.08310276634034014,1.0225145742410305e-167,0.7583210194618901,0.1518779659185896,0.004373037266891103,0.00012174218553874703,6.818682138751112e-06,2.7819442098282353e-06,0.0012093246958976092,0.0009788294419805618,5.714062356311393e-06,0.0,2.0123773355673753e-36
-0.956114288537278,-0.7103016537595828,0.0944322464784427,1.2980139600343237,0.2686027530434711,-0.1523112278112782,20.0,24.0,10.2,32.0,804.0,8.0,4.0,460.0,1.7,2.9,0.51,7.4,2.42,4926.0,WETLAND,4,0.0003542532431812443,7.102745834227628e-07,0.0,9.117434928579941e-23,0.9784497132305857,0.01383607263487618,1.7861997377121048e-06,8.938926333773663e-08,7.046356525121148e-05,0.00427235704260447,1.860321408045597e-07,0.0030143683877756856,1.2018109913822118e-81,1.4803369048148222e-38
-0.4893698280694591,-1.3714465596156078,0.6221925879507842,2.202780646663705,-0.1245783423364541,0.4704416479909364,15.0,26.0,2.6,36.0,3294.5,10.0,3.0,240.0,1.6,6.4,0.55,7.1,8.05,4931.0,WETLAND,0,0.6956432690387024,9.11738950489303e-14,0.0,3.8955535315652814e-69,0.23526874638868742,0.015027383872411346,3.199905727309396e-11,4.77962327566452e-16,0.0030556831740429988,0.0009723951476865577,2.993177167578886e-06,0.05002952916921183,0.0,5.51284210355298e-38
-1.5844236180448483,0.2703217181092677,1.288480149489661,-0.5123919306170732,-0.566604047315457,-0.555855479258506,689.0,15.0,3.5,30.0,1203.0,15.0,244.0,1986.0,1.3,4.0,0.32,6.8,3.59,4917.0,WETLAND,6,5.6951119590530086e-27,7.093170459157973e-13,0.0,5.0670862048519116e-09,1.5625979580883894e-05,0.0006188630216866133,0.9448020190461285,5.060086504327935e-28,0.004418239846586906,0.045267630323507155,0.004877616714714529,1.3074402801819869e-22,7.247300047937033e-104,6.461947899864716e-35
-0.3666166637941447,-1.3921168258406789,-1.9021715316187304,0.5477040796514261,1.346474188645796,0.1164891773455031,22.0,25.0,2.9,26.0,3294.5,1.0,3.0,423.0,2.7,6.1,0.95,7.5,1.69,4934.0,WETLAND,4,5.997910462680431e-05,6.725528864225429e-15,3.6065275845361493e-45,1.5366045219931985e-37,0.9956493635111775,0.001966895403747158,2.5223230243084434e-11,4.724144625955123e-10,0.00024158985378029774,0.0016032043649950815,4.2043666468325853e-13,0.000478967263608426,1.1860744347724254e-121,2.958373989105329e-44
-1.429461834549515,0.147280522506926,0.5221074479961173,-0.7138336995422127,-0.5640696767820946,-0.4679280451377016,479.0,16.0,3.7,28.0,1172.0,12.0,226.0,1733.0,1.2,4.1,0.46,6.8,3.76,4918.0,WETLAND,6,1.6242444398998755e-21,1.6596287125039937e-08,0.0,9.790740793640348e-05,0.0032833794847038616,0.036219050101608447,0.6903694868222732,2.5933362335824406e-20,0.010937689804196581,0.20123222271736696,0.057860247065626966,1.9664620820324203e-16,3.3610848882644635e-252,2.1022786699047124e-34
-0.3026741344321045,-1.1880765776730782,-1.9319950250882352,0.5908133279444586,0.8440559759569399,-0.3006982537675889,16.0,25.0,2.9,26.0,3294.5,1.0,3.0,260.0,2.6,5.8,0.74,7.2,1.76,4933.0,WETLAND,4,0.0007051720757925524,2.23219208386463e-16,3.4369712683495905e-42,1.444814206294291e-32,0.9902874258781733,0.0052370819778663254,7.205956643058894e-10,4.382450133287437e-07,5.872318832801477e-05,0.0036396125967276165,5.106445585413343e-14,7.154531745167513e-05,3.733567046362461e-42,1.5401232776759797e-43
-0.0226984041685103,-1.3199790176486763,-1.6917197750319868,0.2375892019302501,-0.1298242179444819,-0.3360216768237649,9.0,24.0,3.0,26.0,3294.5,2.0,3.0,210.0,2.2,5.0,1.04,6.8,3.61,4929.0,WETLAND,4,0.1479016591032099,6.4321892618660355e-18,1.346292648264307e-39,4.0743767387756984e-46,0.8224800354901921,0.02751101384919961,1.7097139545575195e-12,2.8846651417693174e-14,0.0007984718806060868,0.0004880481902646295,1.3889800165335835e-12,0.0008207714833997064,0.0,8.531506147471481e-42
-1.7612679570127925,0.2675536231513799,-1.1846820572884882,0.2815000393123708,0.139937393101584,-0.0258112138640347,293.0,22.0,2.3,27.0,490.0,5.0,118.0,722.0,1.0,5.3,0.32,7.2,0.74,4916.0,WETLAND,3,2.532039720283377e-15,0.002119893987702604,7.2824673009983955e-149,0.7942469436161564,0.195208792842153,0.006416579917565224,3.5837671147302124e-05,0.00015213964142648997,2.6444171633923018e-06,0.000954397914905763,0.0008618340825309268,9.359092465195696e-07,0.0,1.2927031296369446e-35
-0.4331986062219429,-1.1177951339307093,-0.3029317874300445,1.3695120508771006,-0.0370259874905939,-0.5946698765517079,15.0,24.0,3.2,31.0,3294.5,7.0,4.0,240.0,1.1,3.2,0.53,7.0,2.33,4925.0,WETLAND,4,0.0014356957736266697,2.3815383219663488e-21,0.0,3.5859372223304855e-44,0.9838929836269611,0.005330067553918674,4.157623425039979e-08,6.430925063973732e-06,9.527805830652257e-05,0.009238804700195757,1.602216686293738e-13,6.977855326492617e-07,5.4407738790115675e-170,2.169885481698023e-42
