PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster_GMM,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob
-0.3026741344321045,-1.1880765776730782,-1.9319950250882352,0.5908133279444586,0.8440559759569399,-0.3006982537675889,16.0,25.0,2.9,26.0,3294.5,1.0,3.0,260.0,2.6,5.8,0.74,7.2,1.76,4933.0,WETLAND,0,0.7306659241004592,0.26524559501731687,0.004088480882224162
-0.0226984041685103,-1.3199790176486763,-1.6917197750319868,0.2375892019302501,-0.1298242179444819,-0.3360216768237649,9.0,24.0,3.0,26.0,3294.5,2.0,3.0,210.0,2.2,5.0,1.04,6.8,3.61,4929.0,WETLAND,0,0.9884673492532466,0.0032515335199172182,0.008281117226835812
-1.7612679570127925,0.2675536231513799,-1.1846820572884882,0.2815000393123708,0.139937393101584,-0.0258112138640347,293.0,22.0,2.3,27.0,490.0,5.0,118.0,722.0,1.0,5.3,0.32,7.2,0.74,4916.0,WETLAND,1,0.004457140286365937,0.9943933510178911,0.0011495086957428718
-0.4331986062219429,-1.1177951339307093,-0.3029317874300445,1.3695120508771006,-0.0370259874905939,-0.5946698765517079,15.0,24.0,3.2,31.0,3294.5,7.0,4.0,240.0,1.1,3.2,0.53,7.0,2.33,4925.0,WETLAND,1,0.2671560519006031,0.7183121896429643,0.014531758456431898
-0.8764659105738489,-0.8015563700128141,-1.636477637544626,0.6442125304677935,0.5471321092338072,0.1807549607282914,11.0,25.0,3.6,27.0,1446.0,2.0,3.0,210.0,1.8,5.0,0.57,7.4,3.89,4930.0,WETLAND,0,0.712553341140897,0.2857475166192584,0.001699142239844629
-0.7901401771301084,-0.2118132882889812,-0.7332328172662792,0.2203584023020181,0.7636880579502034,-0.370708180868117,914.0,21.0,3.7,27.0,2453.0,6.0,228.0,2420.0,1.2,4.2,0.32,7.3,1.88,4915.0,WETLAND,1,0.00034844698944888706,0.9938788618722956,0.005772691138255941
-0.6630215183197548,-1.1345762306839238,-0.0374110822774026,1.5566402539524775,0.5350338080034,-0.2801330257226674,21.0,24.0,6.2,32.0,3294.5,8.0,9.0,240.0,1.0,4.3,0.55,7.3,1.88,4924.0,WETLAND,1,0.282063124295756,0.7121670912768556,0.005769784427388387
1.9623769853989683,-1.711760451748919,-0.3179463385421417,0.0896997824945848,0.5802884588425474,-2.7233299994121354,43.0,23.0,35.8,27.0,2630.0,4.0,3.0,2400.0,5.4,0.3,0.32,6.8,4.95,4928.0,WETLAND,0,0.9999453626599107,5.598336775988978e-11,5.4637284106407974e-05
-1.2218101986522831,-0.0185790181137845,-1.1598508574257156,-0.0852524637089184,-0.0346567728588913,-0.3240520338437661,403.0,21.0,2.7,26.0,1370.0,5.0,142.0,1046.0,1.2,4.8,0.43,7.0,1.94,4923.0,WETLAND,1,0.009596639113657896,0.9890252942026169,0.001378066683724804
-1.8697408614905064,-0.05547385612622,-0.1207930677762235,0.6132598634446215,0.1764092215101428,0.0356526302571473,330.0,21.0,2.8,30.0,820.0,9.0,38.0,980.0,1.0,5.1,0.32,7.3,1.69,4920.0,WETLAND,1,0.06597143896341592,0.9326895221706775,0.0013390388659062975
