PC1,PC2,PC3,PC4,PC5,PC6,orig_Max Fecal Coliform,orig_Min Temperature,orig_Max BOD,orig_Max Temperature,orig_Max Conductivity,orig_Temperature_Range,orig_Min Fecal Coliform,orig_Max Total Coliform,orig_Min BOD,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Min pH,orig_Max Nitrate N + Nitrite N,STN_Code,Water_Body_Type,Cluster
-1.1421485733571624,0.2379221839642105,1.3605200695591295,1.7812161625138463,-0.7181058931953225,0.5509471902100506,730.0,24.0,2.7,37.0,136.0,13.0,300.0,2000.0,2.5,4.5,0.8,6.9,1.7,2222.0,POND,0
-1.5225623635842995,0.3129404611638877,2.2194238347987056,1.728922940094252,-0.8426241548008849,0.5377073353610383,720.0,22.0,2.6,38.5,133.0,17.0,300.0,1400.0,2.1,4.6,0.7,6.9,2.2,2224.0,POND,0
-1.601111942053843,0.3971003113669218,1.3200216502332585,0.7025417392540713,-0.4563284764783956,0.4688941791456403,910.0,20.0,2.5,34.0,116.0,14.0,300.0,2000.0,2.1,4.9,0.8,7.0,1.4,2210.0,POND,0
-1.491282102567899,0.2205156391833909,1.7768077058650809,0.157966015318539,-1.4797475952968766,0.7051836442008479,910.0,18.0,2.5,34.0,92.0,16.0,300.0,1500.0,1.0,4.9,0.8,6.7,8.0,2226.0,POND,0
-1.3520059572163197,0.1885378405193451,0.896012838024968,-0.4793268366224319,-0.5793894089676473,0.009301089416642,730.0,17.0,2.8,30.0,571.0,13.0,300.0,1500.0,2.4,4.3,1.0,6.8,1.5,2217.0,POND,0
-1.7686677894918512,0.7090268425840354,1.5868629491801625,0.0150217202832228,-1.2077480527253128,-0.1033316643590708,910.0,17.0,2.8,33.0,110.0,16.0,300.0,1500.0,2.3,5.4,0.7,6.5,1.4,3775.0,POND,0
-1.4939402101578698,0.4502116282632478,1.843586658516428,0.6330439435824279,-0.8263971224433467,0.3147850882943361,720.0,19.0,2.6,35.0,112.0,16.0,360.0,2000.0,2.3,4.3,0.9,6.8,1.2,4334.0,POND,0
-1.5995212568302757,0.2343061798882318,2.2308656476866595,1.4905340435840333,-0.6423640159461453,0.6274996119072414,720.0,21.0,2.6,38.0,195.0,17.0,300.0,1200.0,2.1,4.7,0.8,7.0,2.0,5137.0,WETLAND,0
-1.5067731823419306,0.1757129434239286,2.007517803980747,1.5997666114095324,-0.6878194276294101,0.8449018802141172,730.0,22.0,2.6,38.0,202.0,16.0,300.0,1500.0,2.0,4.9,1.0,7.0,1.6,5136.0,WETLAND,0
0.2366076681957049,3.3080996311103386,1.3202305892202686,-1.16829601503278,0.5284663483425088,0.4033943560579515,10678.0,15.0,6.0,28.0,392.0,13.0,766.0,31301.25,1.6,2.8,0.3,7.1,0.43,2557.0,LAKE,0
0.5661940597507333,2.205152005703303,1.9849155492466015,-0.7858078228547143,0.8076334378749821,-0.5064201851473136,10678.0,15.0,30.0,30.0,1100.0,15.0,270.0,31301.25,1.5,3.6,0.3,7.2,0.44,2571.0,LAKE,0
0.0938137946122985,2.17409388083474,1.6468880883804802,-0.2525413331846028,0.6992534549722403,0.1877169681125483,10678.0,17.0,12.0,31.0,962.0,14.0,230.0,31301.25,1.8,3.4,0.3,7.3,0.68,4296.0,LAKE,0
0.6527622184316969,3.1606235053527745,1.5873030634502954,0.0782806055971767,0.7572105391284187,0.6040546663344346,10678.0,19.0,14.0,32.0,995.0,13.0,766.0,31301.25,2.0,5.2,0.3,7.1,0.43,2573.0,POND,0
-0.0212237878430538,3.2523621753166587,2.36000718386622,-0.590955051980608,1.1949278223568365,0.7924747550818986,10678.0,15.0,11.0,32.0,831.0,17.0,766.0,31301.25,2.6,6.3,0.3,7.3,0.35,2574.0,POND,0
-1.7059746299578118,1.7637546181570023,2.115742697607035,-0.0042872546194629,-0.2864732641933774,0.767625045975611,9200.0,16.0,3.8,34.0,283.0,18.0,27.0,16000.0,1.8,7.8,0.4,7.0,2.4,2046.0,LAKE,0
0.2168167959945324,-0.8186159839129704,-1.0185841969793383,1.2229063522417092,0.9729069732375076,-1.2058360199622324,170.0,26.0,35.8,29.0,2432.0,3.0,20.0,140.0,1.8,6.2,0.36,7.2,1.0,3164.0,POND,0
2.4200395298150146,0.7651489821783446,0.9557681171010032,-0.0094630547455367,2.880513187345469,-1.2215637906300454,10678.0,22.0,35.8,29.0,790.0,7.0,766.0,1500.0,7.05,0.3,0.3,7.8,0.91,3031.0,LAKE,0
1.6453610779441123,1.030885322307019,0.7572671710372517,0.2691536972785547,2.783154012174621,-0.5399490930244439,10678.0,22.0,35.8,29.0,790.0,7.0,766.0,1500.0,3.3,0.3,0.3,8.1,0.7,3476.0,LAKE,0
2.493570695032629,0.809285848124104,0.9302249628832462,-0.0605965474130066,2.512480704927721,-1.2994804611585695,10678.0,22.0,35.8,29.0,790.0,7.0,766.0,1500.0,7.05,0.3,0.41,7.6,0.58,3030.0,LAKE,0
-0.4675717999773457,1.1259201963708363,-0.7894888602144358,1.648111018554426,-2.584349607761206,-0.7747361350873061,2200.0,27.0,2.5,32.0,166.0,5.0,240.0,3500.0,1.0,3.0,0.32,5.800000000000001,0.32,5280.0,LAKE,0
-1.3690898337358692,0.5113169605891055,-0.8240166724134899,1.2594270145522295,-2.166401914887946,-0.7013749389155803,350.0,25.0,1.7,31.0,59.0,6.0,8.0,540.0,1.0,4.2,0.32,6.1,0.62,3175.0,LAKE,0
-0.1208231231473723,1.5660402734997492,-1.2097526231545097,1.5867086777308954,-2.3179088821785765,-0.5721527419692317,2400.0,28.0,5.0,31.0,226.0,3.0,490.0,3500.0,1.0,4.0,0.32,5.800000000000001,0.34,5103.0,LAKE,0
0.3917471525428854,1.4179021045926476,-1.1600514816743357,1.3353851918834407,-1.2886881937681371,-0.2166057467811306,2700.0,27.0,2.1,30.0,1981.0,3.0,766.0,3400.0,1.0,5.1,0.32,6.1,2.22,3177.0,LAKE,0
1.145724237102565,1.2874508899229924,-0.6958440811418343,1.501194451998874,-1.9947022035778232,-1.529132469045131,3400.0,28.0,28.0,31.0,49.0,3.0,490.0,4700.0,1.1,1.0,0.32,5.9,0.35,3180.0,LAKE,0
-0.9126795526718068,1.805528194301654,-0.9668350322441184,1.2672173177601906,-1.7138446160661167,0.067091599891182,2400.0,26.0,2.0,31.0,164.0,5.0,490.0,4900.0,1.0,6.8,0.32,6.1,0.32,4408.0,LAKE,0
-0.3833291068914389,2.229923277745348,-1.354675736391428,1.1958740523468732,-2.1093640813450523,-0.0989838698793723,2300.0,27.0,1.9,30.0,67.0,3.0,766.0,3300.0,1.0,6.0,0.32,5.800000000000001,0.32,2269.0,LAKE,0
0.1656048936001021,1.0320947914331078,-1.0852115271380516,1.5898513093407172,-2.128921135229911,-1.083048442342936,2400.0,28.0,16.0,31.0,271.0,3.0,230.0,5400.0,1.2,3.4,0.32,5.9,0.32,3178.0,LAKE,0
1.1087485811122506,1.639931878786567,-1.310727086615421,0.8135091643824206,-1.1691883081648835,-0.4304085526260318,4900.0,27.0,6.7,28.0,477.0,1.0,766.0,7000.0,1.7,1.2,0.32,6.3,2.96,3179.0,LAKE,0
-1.0647986075666152,1.307624177087393,-1.5408575836707652,1.3288248302083263,-2.0021350723953324,-0.2375476615122393,940.0,27.0,1.5,30.0,99.0,3.0,330.0,1500.0,1.0,6.4,0.32,6.0,0.32,5104.0,LAKE,0
-1.9339765347883249,-0.3844058070541538,-0.6936962098579025,1.4097172340965225,0.8794771335289148,0.8637589773858323,4.0,25.0,1.0,31.0,576.0,6.0,2.0,21.0,1.0,6.1,0.32,7.8,3.27,1345.0,LAKE,0
-0.4692622940441983,-0.8782294804244115,-0.7360042064392426,1.1470877933803538,0.864940329909869,-0.8095521893371925,350.0,24.0,13.0,29.0,2680.0,5.0,14.0,540.0,1.0,3.2,0.3,7.4,0.81,1973.0,LAKE,0
-0.8681177319657984,-0.0566583469850748,-0.6277400283742142,1.5321001600413815,0.6671079348019836,0.0940367377291955,920.0,26.0,12.0,31.0,713.0,5.0,170.0,1600.0,1.2,4.1,0.39,7.5,0.77,1344.0,LAKE,0
-1.0561123578626133,-1.1938934790313314,0.6755021817148851,2.269524898828354,2.0448635555189094,0.5882396573380211,920.0,25.0,3.5,35.0,2862.0,10.0,18.0,1600.0,1.6,4.5,0.42,8.2,1.69,1977.0,LAKE,0
-1.6192827663309963,-0.3885292098148948,-0.0315195585465273,1.8403239157781908,0.7542964643972916,0.3241724735253303,350.0,25.0,3.9,33.0,831.0,8.0,11.0,540.0,1.0,4.0,0.32,7.7,0.66,3198.0,LAKE,0
-1.3933644617429977,-0.335965425774558,-1.1907043763899283,1.1275940699140676,0.6261519517340547,-0.0678210064354615,7.0,25.0,3.1,29.0,970.0,4.0,4.0,26.0,2.0,5.1,0.32,7.4,0.43,3199.0,LAKE,0
